personnes,date,heure
personne 2,2022-05-06,09:57:16
personne 3,2022-05-06,09:57:16
personne 4,2022-05-06,09:57:17
personne 1,2022-05-06,09:58:02
personne 2,2022-05-06,09:58:02
personne 3,2022-05-06,09:58:03
personne 4,2022-05-06,09:58:04
p.1,2022-05-06,09:58:57
p.1,2022-05-06,09:59:21
p.2,2022-05-06,09:59:21
p.1,2022-05-06,10:00:10
p.2,2022-05-06,10:00:11
